"numeroSecretaria","nome","email","telefone","data_cadastro","data_retorno","status"
"ABC123","Lucas Moura Pereira","lucasmourap@gmail.com","3193010708","11/02/2020","11/03/2020","cit"
"BCD345","Caio","caio@gmail.com","993087700","30/03/2019","27/11/2020","retorno"
"dasdasda","Warley","warley@gmail.com","993087700","30/03/2019","03/04/2021","cirugia"
"ABC127","Lucas","lucasmourap@gmail.com","319300000","11/02/2020","11/03/2020","cit"
"ABC234","Eveline","eveline@gmail.com","319300000","11/02/2020","11/03/2020","cit"
"ABC234","Eveline3","eveline3@gmail.com","319300000","2010-11-03","2011-11-03","retorno"
"ABC146","Lucas Moura Pereira","lucasmourap@gmail.com","3193010708","2020-11-02","12345","cit"
"ABC123","Lucas Moura Pereira","lucasmourap@gmail.com","3193010708","11/02/2020","2020-11-03","cit"
"A","Luc","luc@gmail.com","3193000000","11/02/2020","2020-11-03","cit"
"A","Luc","luc@gmail.com","3193000000","11-02-2020","2020-11-03","cit"
"A","Luc","luc@gmail.com","3193000000","11022020","Invalid date","cit"
"A","Luc","luc@gmail.com","3193000000","Invalid date","Invalid date","cit"
"A","Luc","luc@gmail.com","3193000000","Invalid date","Invalid date","cit"
"A","Luc","luc@gmail.com","3193000000","11022020","Invalid date","cit"
"At","Luct","luct@gmail.com","3193000001","11022020","Invalid date","cit"
"Atffsdf","Luctfsdfdf","luctfdsfdfds@gmail.com","319300000122","1997-11-02","1998-11-02","cit"
"Atff","Luctfsdf","luctfdsfdf@gmail.com","31930000","1997-11-02","1998-11-02","cit"
"Atf","Luctfsd","luctfdsfd@gmail.com","3193000","1997-11-02","1998-11-02","cit"
"Atf","Luctfsd","luctfdsfd@gmail.com","3193000","1997-11-02","1998-11-02","cit"
